Poshmark Inventory Report for @omclosetgalore
Inventory as of 08/30/2026
Notes:
** Only listings that are available are shown on this file.
** The balance amount on this page should not be used for accounting purposes. Please refer to the 'My Balance' page to find the amount that can be used/spent/withdrawn.
""
Listing Date,Number of Days Listed,Listing SKU,Item SKU,Listing Title,Department,Category,Subcategory,Brand,Color,Size,NWT,Quantity Available,Likes,Cost Price,Lowest Listed Price,Current Listing Price,Other Info,Seller Shipping Discount
08/28/2022,1463,,,"🆕NWT Adidas Back Plate, chrome (sold individually)",Men,Other,"",adidas,"Silver, Black",OS,Y,1,4,"",$32.00,$32.00,,$1.50
08/31/2022,1460,,,🆕ib Mikasa Poinsettia Red SB 101/538 oval serving bowl,Home,Dining,"",Mikasa,"",OS,Y,1,2,"",$45.00,$45.00,,$1.50
09/12/2022,1448,,,"Aquatalia suede tall boot, black, Sz 7",Women,Shoes,Heeled Boots,Aquatalia,Black,7,N,1,17,"",$125.00,$125.00,,$1.50
09/14/2022,1446,,,"NWT - Cushe Shucoon moc slide sandal, purple, sz 6",Women,Shoes,Sandals,cushe,Pink,6,Y,1,0,"",$62.00,$65.00,,$1.50
10/17/2022,1413,,,"Frye Casey crossbody , wine",Women,Bags,Crossbody Bags,Frye,Purple,OS,N,1,13,"",$133.00,$160.00,,$1.50
10/27/2022,1403,,,"Punto Pigro(wob) never worn boots, beige, size 42",Men,Shoes,Boots,Punto Pigro,Tan,42EU,N,1,3,"",$162.00,$162.00,,$1.50
11/01/2022,1398,,,"🆕wob Frye boots, charcoal, Sz 8",Men,Shoes,Boots,Frye,"Black, Gray",8,N,1,24,"",$188.00,$200.00,,""
02/22/2023,1285,,,"Dessy Criss Cross cutout back maxi dress front slit, 14, ivory",Women,Dresses,Maxi,The Dessy Group,"White, Cream",14,N,1,1,"",$117.00,$150.00,,""
06/18/2024,803,,,"Like new Casa Hernanz espadrille slides, black, sz 38",Women,Shoes,Espadrilles,Casa Hernanz,Black,38EU,N,1,2,"",$38.00,$40.00,,$1.50
06/19/2024,802,,,"NIB 🆕 Ancient Greek Sandals, 38, platinum",Women,Shoes,Sandals,Ancient Greek Sandals,"Gold, Silver",38EU,Y,1,7,"",$180.00,$180.00,,""
