Brand,Type,Gender,Color,Price,Ship To,Date Listed,Date Sold,Sample
M. Gemi,Shoes,Women,Black,102.00,NY,2021-08-19,2022-10-30,no
Calvin Klein,Shoes,Women,Brown,40.00,FL,2022-08-01,2022-10-24,no
Frye,Shoes,Men,"Brown,Tan",130.00,TX,2021-08-20,2022-12-28,no
Taryn Rose,Shoes,Women,Pink,50.00,CO,2021-08-17,2023-01-26,no
Rachel Zoe,Shoes,Women,"Black,Gold",120.00,WA,2021-08-08,2023-02-26,no
Frye,Bags,Women,Red,165.00,NC,2022-01-30,2023-03-13,no
PIKOLINOS,Bags,Women,White,125.00,OH,2021-07-11,2023-03-28,no
PIKOLINOS,Shoes,Women,"Brown,White",50.00,FL,2021-07-28,2023-06-18,no
Frye,Bags,Women,"Gray,Brown",130.00,AZ,2020-09-11,2023-06-18,no
Coach,Shoes,Women,Pink,82.00,IN,2021-08-24,2023-08-07,no
Aquatalia,Shoes,Men,Gray,100.00,NY,2022-08-10,2023-10-19,no
Frye,Bags,Women,Gray,200.00,CO,2021-07-20,2024-03-15,no
Aquatalia,Shoes,Women,Black,66.00,NY,2022-08-11,2024-04-30,no
Chippewa,Shoes,Men,Green,100.00,NC,2024-06-21,2024-06-22,no
Massimo Dutti,Accessories,Women,"Yellow,Orange",30.00,FL,2023-02-20,2024-07-13,no
Frye,Bags,Women,"Blue,Red",185.00,OK,2021-09-06,2024-09-19,no
Giorgio Armani,Makeup,Women,Cream,40.00,NY,2024-11-11,2024-11-11,no
Frye,Bags,Women,"Red,Purple",130.00,NJ,2021-09-06,2024-11-11,no
Ray-Ban,Accessories,Women,"Brown,Orange",100.00,FL,2024-07-11,2024-11-12,no
,Kitchen,Home,Silver,12.00,HI,2020-08-23,2024-11-13,no
Zoo York,Sweaters,Men,"Black,White",20.00,HI,2024-11-22,2024-12-08,no
Robin Ruth,Accessories,Women,Pink,10.00,AL,2024-09-12,2024-12-11,no
Veronica Beard,Jackets & Coats,Women,"Orange,Green",115.00,PA,2023-02-22,2024-12-18,no
Frye,Shoes,Kids,Cream,50.00,WY,2022-09-11,2025-01-09,no
Frye,Bags,Women,Black,170.00,IL,2020-09-08,2025-02-01,no
Frye,Shoes,Men,,205.00,FL,2021-08-23,2025-01-30,no
Frye,Shoes,Women,Tan,175.00,CA,2025-02-09,2025-02-23,no
Frye,Shoes,Women,Black,50.00,IL,2024-11-16,2025-03-11,no
Remington,Dog,Pets,"Green,White",15.00,FL,2025-01-25,2025-03-17,no
Swatch,Accessories,Women,White,50.00,MD,2025-01-18,2025-03-25,no
Alexander McQueen,Shoes,Women,"Pink,White",200.00,FL,2021-07-23,2025-05-06,no
Frye,Bags,Women,Brown,165.00,NC,2025-03-23,2025-07-11,no
bubbletastic,Dog,Pets,Orange,30.00,TX,2024-11-30,2025-08-19,no
Frye,Shoes,Men,Brown,204.00,CO,2024-11-30,2025-08-22,no
beauty of joseon,Skincare,Women,,14.00,TX,2025-02-23,2025-09-09,no
Frye,Bags,Women,Black,160.00,TN,2024-11-15,2025-09-06,no
Frye,Bags,Women,Brown,120.00,KS,2025-09-07,2025-09-24,no
Frye,Bags,Women,"Red,Purple",140.00,LA,2022-09-15,2025-10-17,no
PIKOLINOS,Shoes,Women,Brown,62.00,CA,2022-08-13,2026-03-15,no
